#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Alumbrado público,165,22200,2019-08-02,A78923125,TELEFONICA SERVICIOS MOVILES SA,Fra. Movistar - Conectividad gestionada Kite CF: default Periodo: 1 jun 2019 - 30 jun 2019 - Cargos de cliente asociados a servicios básicos,258.21
Asistencia a personas dependientes,234,22601,2019-08-02,B83372466,SERRALIM SL,"Fra. 19L0026 SERVICIO DE LIMPIEZA EN EL HOGAR DE LOS MAYORES DURANTE LA CELEBRACIÓN DEL DÍA DEL ABUELO,",108.9
Asistencia a personas dependientes,234,22601,2019-08-02,B85776912,R ROMERA ESPECTACULOS SL,"Fra. Actuacion Musical Sonorización e Iluminación de la Rondalla y actuación musical de la Orquesta Tentación, en la celebración del Dia del Abuelo, el día 26 de Julio de 20",2662.0
Administración general de educación,320,22110,2019-08-02,B80377971,D.S. LINEA VERDE S.L.,Fra. CP SAN MIGUEL ARCAGEL,182.79
Administración general de educación,320,22706,2019-08-02,B85646859,AMMA  EDUCACION INTEGRAL SL,Fra. CASA DE NIÑOS JULIO 2019,10916.26
Promoción cultural,334,22110,2019-08-02,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CULTURA,51.87
Promoción cultural,334,22609,2019-08-02,005281796F,"ARRANZ*CARRION,PABLO","Fra Palabra de MAGIA 2019 Organización, programación y actuaciones de Magia durante el fin de semana “Palabra de Magia” programado por la Concejalía de Cultura del Ayuntamiento de Moralzarzal",4174.5
Administración General de Deportes,340,22609,2019-08-02,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. FACTURA PEDRO HERRERO 219,194.82
Administración General de Deportes,340,22609,2019-08-02,B83633933,EVENTOS DE LA SIERRA SL,Fra. CATERING PEDRO HERRERO 2019,859.1
Administración General de Deportes,340,22609,2019-08-02,B83633933,EVENTOS DE LA SIERRA SL,Fra. PEDRO HERRERO 2019,659.45
Piscina Cubierta Municipal ,343,22700,2019-08-02,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,Fra. Mantenimiento integral Piscinas  JULIO 2019,4638.33
Administración General ,920,22721,2019-08-02,Q2866023A,COSITAL,"Fra. Curso Cosital Contratos Menores, Carlos Jaramillo Martín",120.0
Administración General ,920,22709,2019-08-05,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-08-05,A39000013,BANCO SANTANDER SA,COMISION POR INSTALACION O MANTENIMIENTO DE TPV,25.0
Administración General ,920,22709,2019-08-05,A39000013,BANCO SANTANDER SA,COMISION POR INSTALACION O MANTENIMIENTO DE TPV,25.0
Administración General ,920,22709,2019-08-05,A39000013,BANCO SANTANDER SA,COMISION POR INSTALACION O MANTENIMIENTO DE TPV,25.0
Administración General ,920,22709,2019-08-05,A39000013,BANCO SANTANDER SA,COMISION POR INSTALACION O MANTENIMIENTO DE TPV,25.0
Administración Gral Seguridad y Protección Civil,130,22110,2019-08-06,B80377971,D.S. LINEA VERDE S.L.,Fra. PROTECCION CIUDADANA,55.37
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-08-06,005275614N,"CASTILLO*MONTOYA DEL,ENRIQUE","Fra. Prestación de servicios de ingeniería industrial para el Ayuntamiento, según contrato administrativo expediente 387/2019 de fecha 5 de Julio de 2019, Según cláusula 24,2,",2640.0
Vías públicas,153,21000,2019-08-06,B79381141,SANEAMIENTOS MORAL SL,Fra. CASA CONSISTORIAL ENTREGADO A,389.1
Limpieza viaria,163,22700,2019-08-06,A79524054,URBASER S A,Fra.  LIMPIEZA VIARIA  MAYO,29177.37
Parques y jardines,171,21000,2019-08-06,B82704115,MORAJARDIN SL,"Fra. Obra en la calle Chozuela:  Cortar ramas de chopo para instalación de cubos de basura, Obra en la calle Chozuela",326.7
Parques y jardines,171,22719,2019-08-06,048929407N,"SANCHEZ*OCAÑA,FERNANDO","Fra. Servicios correspondientes al mes de junio 2018, Canon Fijo,",403.33
Promoción cultural,334,22609,2019-08-06,B84044650,PRODUCCIONES TEATRALES ALGOQUIN SL,"Fra. REALIZACIÓN DEL ESPECTÁCULO NOCHES DE MONÓLOGOS CON JOSÉ CAMPOY (SKETCH COMEDY) EL DÍA 19 DE JULIO A LAS 22,00 H EN LOS JARDIONES DE LA CASA DE LOS MAYORES DE MORALZARZAL",847.0
Promoción cultural,334,22609,2019-08-06,X6825569C,"ILIYANOV*PARARLYUZOV,STEFAN",Fra Caterin ofrecido durante el mes de julio de 2019,170.01
Juventud,339,22609,2019-08-06,B87386132,GIORDANA TOZZI SL,Fra. PIZZA JAMON,359.99
Juventud,339,22609,2019-08-06,A28571750,SUPERMERCADOS HIBER SA,Fra. Varios,18.97
Juventud,339,22609,2019-08-06,B88210562,INFINITY FUN COMPANY SL,Fra. ACTIVIDAD DE OCIO,704.95
Juventud,339,22609,2019-08-06,A28741262,FRANCISCO LARREA SA,Fra. Traslado al Aquopolix 30 pax 24/07/19,308.0
Juventud,339,22700,2019-08-06,B28536092,LIMPIEZAS UNIDAS SL,Fra. 1 MADRID             Limpieza de Casa de la Juventud durante el mes de MAYO 2019,296.41
Administración General de Deportes,340,21200,2019-08-06,B82704115,MORAJARDIN SL,Fra. Mt2 Geo textil de 130 gr,659.45
Administración General de Deportes,340,22000,2019-08-06,B85794105,REPROMORAL SL,"Fra. EXHIBICIÓN GIMNASIA RÍTMICA, 150 PROGRAMAS de 8 páginas, tamaño abierto 21x22 cm, impresos a color dos caras en papel estucado de 135g brillo, Grapados a caballete, 10 A1",234.05
Administración General de Deportes,340,22609,2019-08-06,A28571750,SUPERMERCADOS HIBER SA,Fra. varios,489.36
Piscina Cubierta Municipal ,343,22706,2019-08-06,B86397205,SPORTMADNESS EVENTOS SL,Fra. CLASES NATACIÓN JULIO,1389.51
Órganos de gobierno,912,22601,2019-08-06,B04249884,LIDIAN SL,Fra. VIDEO HOMENAJE MELCHOR ANTUÑANO,514.25
Órganos de gobierno,912,22706,2019-08-06,B85925329,"CULMIN INNOVACION Y SOLUCIONES, S.L.",Fra. Servicio de inscripciones On-line para Talleres,181.5
Órganos de gobierno,912,22706,2019-08-06,050718854J,"CASTRO,LUIS ALBERTO",Fra charla tecnica mayo 2019,96.8
Administración General ,920,21600,2019-08-06,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. ROUTER INALAMBRICO TP-LINK M7200,112.71
Administración General ,920,21600,2019-08-06,0.0,0.0,Expte 6207/2019Pago a Justificar: ALCALDIA. Compra Flickr y desarrollador IOS.,170.0
Administración General ,920,22602,2019-08-06,Q7850065I,PUBLICACIONES OFICIALES-BOCAM,Fra Apr def expte 11-3606/2019 mod plantilla personal,291.67
Administración General ,920,22706,2019-08-06,B64206535,ASPY PREVENCION SLU,"Fra. Reincorporación ausencia prolongada Exención del IVA según Ley: - Apartado 3 del artículo 20, Uno de la Ley 37/1992, de 28 de diciembre, del Impuesto sobre el Valor Añadi",180.0
Administración General ,920,22706,2019-08-06,B64206535,ASPY PREVENCION SLU,"Fra. Reincorporación ausencia prolongada Exención del IVA según Ley: - Apartado 3 del artículo 20, Uno de la Ley 37/1992, de 28 de diciembre, del Impuesto sobre el Valor Añadi",90.0
Administración General ,920,22709,2019-08-06,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22717,2019-08-06,B35664879,MHP SERVICIOS DE CONTROL SL,Fra. Servicio Integral de Control Horario,484.0
Participación ciudadana,924,22708,2019-08-06,B83117291,7 ESTRELLAS EDUCACION Y OCIO SL,"Fra. 1 Servicios de dinamizaciï¿½n y participaciï¿½n    ciudadana del Ayto, de Moralzarzal,    Exp, 881/2018,    Durante el mes de Julio de 2019,",2605.16
Administración General ,920,22709,2019-08-07,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-08-08,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-08-08,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Juventud,339,22609,2019-08-09,0.0,0.0,EXPTE 6222/2019 TORNEO FIFA 2019,110.0
Administración General ,920,22709,2019-08-12,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-08-14,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa novillada sin picadores 21/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa novillada sin picadores 22/09/2019,180.31
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa novillada sin picadores 23/09/2019,180.31
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa novillada sin picadores 24/09/2019,180.31
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa encierro reses 21/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa encierro reses 22/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa encierro reses 23/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa suelta reses 21/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa suelta reses 22/09/2019,108.18
Fiestas populares y festejos,338,22608,2019-08-16,S7800001E,COMUNIDAD DE MADRID,Fra tasa encierro reses 20/09/2019,108.18
Piscina Cubierta Municipal ,343,22708,2019-08-16,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,"Fra. MANTEN,MECANICO MANTENIMIENTO MECANICO  JULIO 2019",2325.22
Administración Gral Seguridad y Protección Civil,130,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración Gral Seguridad y Protección Civil,130,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,82.47
Administración Gral Seguridad y Protección Civil,130,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,68.98
Administración Gral Seguridad y Protección Civil,130,22719,2019-08-19,B85363687,GTRES GRUAS ANTONIO SL,Fra. SERVICIO GRUA MES JULIO,1815.0
Protección civil,135,22103,2019-08-19,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. FACTURA PROTECCION CIVIL MAYO ´19,168.84
Protección civil,135,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,85.49
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,119.98
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-08-19,002613357M,"MARTINEZ*SANCHEZ,MIGUEL ANGEL",Fra. Levantamiento topográfico,1022.45
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22706,2019-08-19,B84840685,TPF GETINSA EUROESTUDIOS SL,"Fra. Coordinación de Seguridad y Salud en obras y servicios de mantenimiento realizados por el Ayuntamiento de Moralzarzal, Nº Expte: 3448-2018,), Trabajos correspondientes al",1209.62
Vías públicas,153,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,68.98
"Recogida, eliminación y tratamiento de residuos",162,22700,2019-08-19,A79524054,URBASER S A,Fra. SERVICIO DE RECOGIDA Y TRANSPORTE DE RESIDUOS SOLIDOS URBANOS MES DE JUNIO,20606.39
"Recogida, eliminación y tratamiento de residuos",162,22700,2019-08-19,A79524054,URBASER S A,Fra. SERVICIO DE RECOGIDA Y TRANSPORTE DE RESIDUOS SOLIDOS URBANOS MES DE JUNIO,6870.48
Limpieza viaria,163,22700,2019-08-19,A79524054,URBASER S A,Fra.  LIMPIEZA VIARIA  DURANTE EL MES DE JUNIO,29177.37
Parques y jardines,171,22718,2019-08-19,B82704115,MORAJARDIN SL,"Fra. Mantenimiento y poda de varias zonas verdes, del Lote I y Lote III (desde rotonda gasolinera a cruce Gamonal)",15024.0
Administración General de servicios sociales,230,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,94.26
Asistencia a personas dependientes,234,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,23.56
Fomento del Empleo,241,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,11.79
Fomento del Empleo,241,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,51.0
Fomento del Empleo,241,22706,2019-08-19,G80980584,ASOCIACION ESLABON INICIATIVA PROMOCION DE EMPLEO,"Fra. Actividades mes Programa Dinamizamoral 2019: Facturación actividad de julio de 2019,",2923.75
Bibliotecas y Archivos,332,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,23.56
Promoción cultural,334,21200,2019-08-19,B88063078,ECO ENGINEERING SOLUTIONS SL,"Fra. Elementos Led para sustituciòn en Campanas la bombilla actual por sistema inalàmbrico,llevando incorporado un driver wireless con un retrofit de 40W de 4000K con una efic",1064.8
Promoción cultural,334,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Promoción cultural,334,22199,2019-08-19,B87657839,IBERIAN MEDICAL DEVICES SL,Fra. DCH-A-AVD,285.8
Promoción cultural,334,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,82.47
Promoción cultural,334,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,85.49
Promoción cultural,334,22609,2019-08-19,B94011665,SUPERNOVA ASISTENCIAS SLU,Fra. REALIZACIÓN DE 5 PROYECCIONES DE CINA AL AIRE,3230.7
Promoción cultural,334,22609,2019-08-19,070045048C,"JABALERA*UBEDA,SONIA",Fra sonorizacion Jazz For Children,1929.95
Promoción cultural,334,22609,2019-08-19,B82147943,RUSTIC SHOW S.L.,Fra. Actuación de Jazz For Children el 28 de julio en la Plaza del Hogar de los Mayores de Moralzarzal,2783.0
Promoción cultural,334,22609,2019-08-19,005342294S,"MATEOS*JIMENO,ANTONIO",Fra. Sillas 3 fines de semana Julio (12-19-26) 125 sillas 3 fines de semana Julio,514.25
Promoción cultural,334,22718,2019-08-19,B86410198,"GIGLON,SL",Fra. Coste impresora julio 2019,60.5
Juventud,339,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,35.34
Juventud,339,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,51.0
Juventud,339,22609,2019-08-19,A28741262,FRANCISCO LARREA SA,Fra. Traslado de Moralzarzal al Planetociob30 pax 31/07/19,220.0
Administración General de Deportes,340,21300,2019-08-19,B83658518,AVD3 SL,Fra. TUERCA INOX PARA POMO M16 A 11-20,246.16
Administración General de Deportes,340,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General de Deportes,340,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,82.47
Administración General de Deportes,340,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,34.49
Piscina Cubierta Municipal ,343,22799,2019-08-19,B86397205,SPORTMADNESS EVENTOS SL,Fra. SOS JULIO,5754.94
"Adm.General Comercio,turismo y PIMES",430,22610,2019-08-19,002652292R,"ORDEN*SANCHEZ,JOSE ANGEL",Fra Actuacion musical Cambalache Ole Moral 2019,544.5
Órganos de gobierno,912,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",170.61
Órganos de gobierno,912,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,11.82
Órganos de gobierno,912,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,255.0
Administración General ,920,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",85.91
Administración General ,920,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",171.82
Administración General ,920,21300,2019-08-19,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General ,920,21600,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,"Fra. CUOTA FTTH 300MB/300MB Periodo: 01/07/2019 al 31/07/2019 FTTH 300/300 Calle Raso 11, (Juzgados) FTTH 300/300 NAVE DE SERVICIOS MUNICIPALES, Cacera Concejo S/N FTTH 300/30",418.9
Administración General ,920,21601,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. OFFICE 365 ESSENTIALS Periodo: 01/07/2019 al 31/07/2019 74 licencias Office 365 Essentials,1392.47
Administración General ,920,22000,2019-08-19,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. PIZARRA BLANCA 120X150 MARCO ALUMINIO MAGNETICA,256.0
Administración General ,920,22000,2019-08-19,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. CALCULADORA CASIO MS-120TERII SOBREMESA,20.24
Administración General ,920,22000,2019-08-19,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. GRAPADORA PETRUS 635,78.2
Administración General ,920,22000,2019-08-19,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. PAPEL RECICLADO A4 VENUS GREEN 80GR 500H,116.16
Administración General ,920,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,18.35
Administración General ,920,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/07/2019 al 31/07/2019,577.34
Administración General ,920,22200,2019-08-19,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/07/2019 al 31/07/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,165.86
Administración General ,920,22201,2019-08-19,A83052407,"SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS,S.A.",Fra Reenvio postal   PAGADO,75.99
Administración General ,920,22201,2019-08-19,A83052407,"SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS,S.A.",Fra Reenvio postal   CAJA FIJA,75.99
Administración General ,920,22201,2019-08-19,A83052407,"SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS,S.A.",Fra Reenvio postal   CAJA FIJA,75.99
Administración General ,920,22201,2019-08-19,A83052407,"SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS,S.A.",Fra Reenvio postal   CAJA FIJA,75.99
Administración General ,920,22710,2019-08-19,B36980753,CALIXTO ESCARIZ SLU,Fra. HONORARIOS Servicios jurídicos profesionales y defensa jurídica del Ayuntamiento correspondiente al mes de julio de 2019,998.25
Administración General ,920,22717,2019-08-19,B84428879,ADD4U SOLUCIONES AVANZADAS PARA LA GESTION SL,"Fra. Mantenimiento informático para el Ayuntamiento de Moralzarzal, Mes de JUNIO de 2019,",10070.83
Administración General ,920,22721,2019-08-19,B82561267,DAVARA & DAVARA ASESORES JURIDICOS S L,Fra. dpo-julio,937.75
Administración General ,920,22721,2019-08-19,B82561267,DAVARA & DAVARA ASESORES JURIDICOS S L,Fra. dpo-junio,937.75
Administración General de Deportes,340,22000,2019-08-20,B85794105,REPROMORAL SL,Fra. TIRAS DE VINILO PARA RESTAURAR SUELO DEPORTIVO - PAGADO CAJA FIJA 04/19,114.95
Administración General de Deportes,340,22000,2019-08-20,B85794105,REPROMORAL SL,Fra impresion vinilos moralsaludable 2019  CAJA FIJA,61.71
Administración General de Deportes,340,22000,2019-08-20,B86500956,"HOGAR MIL, SL",Fra cable y adaptador USB - Pagado CF Deportes 04/19,13.35
Administración General de Deportes,340,22000,2019-08-20,B85794105,REPROMORAL SL,Fra bonos polideportivo y piscina,33.99
Administración General de Deportes,340,22199,2019-08-20,051381536L,"JUSDADO*HERNAN,MARIA",Fra copia de llaves polideportivo 21/06/2019 - CAJA FIJA D04,7.21
Administración General de Deportes,340,22199,2019-08-20,051381536L,"JUSDADO*HERNAN,MARIA",Fra copia llaves polideportivo 25/06/2019 - CAJA FIJA D04,3.61
Administración General de Deportes,340,22609,2019-08-20,A28571750,SUPERMERCADOS HIBER SA,"Fra hielos cicloturista pedro herrero 2019  CAJA FIJA D04 (34,50¿)",34.5
Administración General de Deportes,340,22609,2019-08-20,B86500956,"HOGAR MIL, SL","Fra varios cicloturista pedro herrero 2019  CAJA FIJA D04 (27,10¿)  PAGADO",27.1
Piscina Cubierta Municipal ,343,21200,2019-08-20,B84818442,LEROY MERLIN SL,"Fra  postes madera pradera piscina (135,23) - CAJA FIJA D04",135.23
Administración General ,920,21601,2019-08-21,B86834421,CODEVINCE DESARROLLO WEB SL,Fra. Mantenimiento web Julio 2019,484.0
Administración Gral Seguridad y Protección Civil,130,21400,2019-08-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA BESCAM 2586HDZ,38.79
Administración Gral Seguridad y Protección Civil,130,21400,2019-08-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA POLICIA 1819KFR,16.0
Administración Gral Seguridad y Protección Civil,130,22103,2019-08-26,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. POLICIA LOCAL JULIO ´19,116.35
Seguridad y Orden Público,132,21400,2019-08-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA BESCAM 2586HDZ,16.0
Seguridad y Orden Público,132,21400,2019-08-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA BESCAM 2589HDZ,16.0
Seguridad y Orden Público,132,21400,2019-08-26,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA BESCAM 2589HDZ,33.64
Protección civil,135,22103,2019-08-26,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. PROTECCION CIVIL JULIO ´19,266.22
Protección civil,135,22199,2019-08-26,B86635745,EMERGENCIAS Y FORMACION SANITARIA SLU,Fra. ELECTRODOS PHILIPS ADULTO FR2,244.15
Vías públicas,153,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en CACERA CONCEJO,2 del 07/06/2019 - 04/07/2019",130.05
Alumbrado público,165,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en PEÑAZARZAL NORTE,0005 BIS del 08/06/2019 - 05/07/2019",294.9
Alumbrado público,165,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en SALVADOR SANCHEZ FRASCUELO,18 del 07/06/2019 - 07/07/2019",402.7
Alumbrado público,165,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en SANTA TEODOSIA,1 del 22/05/2019 - 19/06/2019",143.63
Alumbrado público,165,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en PEÑAZARZAL NORTE,5 del 28/05/2019 - 18/06/2019",2388.26
Alumbrado público,165,22100,2019-08-26,A08431090,NATURGY IBERIA SA,"Fra. ELECTRICIDAD en RASO,11 del 07/06/2019 - 04/07/2019",551.4
Parques y jardines,171,22719,2019-08-26,048929407N,"SANCHEZ*OCAÑA,FERNANDO","Fra. Servicios correspondientes al mes de Julio 2018, Canon Fijo,",417.45
Parques y jardines,171,22719,2019-08-26,048929407N,"SANCHEZ*OCAÑA,FERNANDO","Fra. Servicios correspondientes al mes de Julio 2018, Canon Fijo,",403.33
